[03:29:19.05] (GameRunner::addObject) Game add object
[03:29:19.05] (GameObjectsList::push) Push object DIRECTLY
[03:29:19.08] ----------------------0.033411s ----------------------
[03:29:19.09] ----------------------0.004396s ----------------------
[03:29:19.09] ----------------------0.004033s ----------------------
[03:29:19.10] ----------------------0.003969s ----------------------
[03:29:19.10] ----------------------0.004011s ----------------------
[03:29:19.10] ----------------------0.003988s ----------------------
[03:29:19.11] ----------------------0.004029s ----------------------
[03:29:19.11] ----------------------0.004002s ----------------------
[03:29:19.12] ----------------------0.004004s ----------------------
[03:29:19.12] ----------------------0.003954s ----------------------
[03:29:19.12] ----------------------0.004260s ----------------------
[03:29:19.13] ----------------------0.004115s ----------------------
[03:29:19.13] ----------------------0.004869s ----------------------
[03:29:19.14] ----------------------0.004308s ----------------------
[03:29:19.14] ----------------------0.004029s ----------------------
[03:29:19.15] ----------------------0.003816s ----------------------
[03:29:19.15] ----------------------0.004241s ----------------------
[03:29:19.15] ----------------------0.003586s ----------------------
[03:29:19.16] ----------------------0.004966s ----------------------
[03:29:19.16] ----------------------0.003967s ----------------------
[03:29:19.17] ----------------------0.004037s ----------------------
[03:29:19.17] ----------------------0.003960s ----------------------
[03:29:19.17] ----------------------0.004027s ----------------------
[03:29:19.18] ----------------------0.004006s ----------------------
[03:29:19.18] ----------------------0.004012s ----------------------
[03:29:19.19] ----------------------0.003955s ----------------------
[03:29:19.19] ----------------------0.004055s ----------------------
[03:29:19.19] ----------------------0.003964s ----------------------
[03:29:19.20] ----------------------0.004029s ----------------------
[03:29:19.20] ----------------------0.003868s ----------------------
[03:29:19.21] ----------------------0.004063s ----------------------
[03:29:19.21] ----------------------0.005019s ----------------------
[03:29:19.22] ----------------------0.003959s ----------------------
[03:29:19.22] ----------------------0.003384s ----------------------
[03:29:19.22] ----------------------0.004055s ----------------------
[03:29:19.23] ----------------------0.003966s ----------------------
[03:29:19.23] ----------------------0.004045s ----------------------
[03:29:19.23] ----------------------0.003934s ----------------------
[03:29:19.24] ----------------------0.005109s ----------------------
[03:29:19.24] ----------------------0.003898s ----------------------
[03:29:19.25] ----------------------0.004005s ----------------------
[03:29:19.25] ----------------------0.003994s ----------------------
[03:29:19.26] ----------------------0.004032s ----------------------
[03:29:19.26] ----------------------0.003979s ----------------------
[03:29:19.26] ----------------------0.004984s ----------------------
[03:29:19.27] ----------------------0.004002s ----------------------
[03:29:19.27] ----------------------0.004039s ----------------------
[03:29:19.28] ----------------------0.004967s ----------------------
[03:29:19.28] ----------------------0.003996s ----------------------
[03:29:19.29] ----------------------0.004273s ----------------------
[03:29:19.29] ----------------------0.004075s ----------------------
[03:29:19.30] ----------------------0.004925s ----------------------
[03:29:19.30] ----------------------0.004015s ----------------------
[03:29:19.30] ----------------------0.005003s ----------------------
[03:29:19.31] ----------------------0.004073s ----------------------
[03:29:19.31] ----------------------0.004944s ----------------------
[03:29:19.32] ----------------------0.003642s ----------------------
[03:29:19.32] ----------------------0.004017s ----------------------
[03:29:19.32] ----------------------0.004002s ----------------------
[03:29:19.33] ----------------------0.003998s ----------------------
[03:29:19.33] ----------------------0.004009s ----------------------
[03:29:19.34] ----------------------0.003996s ----------------------
[03:29:19.34] ----------------------0.004350s ----------------------
[03:29:19.35] ----------------------0.003946s ----------------------
[03:29:19.35] ----------------------0.003529s ----------------------
[03:29:19.35] ----------------------0.004003s ----------------------
[03:29:19.36] ----------------------0.004027s ----------------------
[03:29:19.36] ----------------------0.005040s ----------------------
[03:29:19.37] ----------------------0.004009s ----------------------
[03:29:19.37] ----------------------0.005004s ----------------------
[03:29:19.37] ----------------------0.004085s ----------------------
[03:29:19.38] ----------------------0.003921s ----------------------
[03:29:19.38] ----------------------0.004022s ----------------------
[03:29:19.39] ----------------------0.003238s ----------------------
